Record URL,Draft Date,Document Number,Film Number,From,Subject,TAGS,To,Message Text,Generic Code,Student Code,Program Originator,Country/Activity Code,Type of Assistance Code,Program Year,Select Item Description Number,Total Delivery Cost
https://aad.archives.gov/aad/createpdf?rid=70960&dt=2474&dl=1345,08 APR 1974,1974LAPAZ02200,D740080-0104,LA PAZ,PRESIDENT BANZER ANNOUNCES NEW CONCEPT OF GOVERNMENT,"PINT, PFOR, PGOV, BL",STATE,"THAT
BOLIVIA MUST BE ECONOMICALLY",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=78481&dt=2474&dl=1345,08 APR 1974,1974LAPAZ02176,D740080-0260,LA PAZ,ECLA POPULATION MEETING SAN JOSE,"EGEN, BL, XM, ECLA",STATE,"ABORTIONS IN BOLIVIA.

3. MISSION UNDERSTANDS UN",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=78431&dt=2474&dl=1345,09 APR 1974,1974LAPAZ02230,D740081-0829,LA PAZ,"MFM WASHINGTON, OAS ATLANTA: BOLIVIA MAY SEEK GENERAL SUPPORT FOR  OUTLET TO SEA","PBOR, PFOR, BL, OAS",STATE,,NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=86092&dt=2474&dl=1345,09 APR 1974,1974LAPAZ02238,n/a,LA PAZ,n/a,n/a,SECSTATE WASHDC,"BOLIVIA, AND THAT BY THE FORCE
OF LOGIC",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=75568&dt=2474&dl=1345,09 APR 1974,1974LAPAZ02209,D740081-0391,LA PAZ,"TEXT OF ""DECLARATION OF COCHABAMBA""","PINT, PFOR, BL, (BANZER SUAREZ, HUGO)",STATE,STUDYING THE PROBLEM OF BOLIVIA'S LAND-LOCKED,NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=78382&dt=2474&dl=1345,10 APR 1974,1974LAPAZ02284,D740084-0325,LA PAZ,COMMENT ON APPLICATIONS FOR OPIC INSURANCE,"EFIN, EMIN, ENRG, BL, OPIC, LAW STAR, UNION OIL, NEW JERSEY ZINC",STATE,"BOLIVIA GROUP FOR SAME REASONS AS IN UNION... BOLIVIA GROUP (REGISTRATION NO.
511-74-232... CONTRACT
IN BOLIVIA WITHOUT INSURANCE AND",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=70901&dt=2474&dl=1345,15 APR 1974,1974LAPAZ02306,D740086-0960,LA PAZ,BOLIVIAN FOREIGN MINISTER PLANNIG TO DELIVER LETTER FROM PRESIDENT  BANZER TO PRESIDENT NIXON,"PBOR, PFOR, BL, US, (BANZER SUAREZ, HUGO), (NIXON, RICHARD M)",STATE,"OF BOLIVIA'S HOPES FOR AN OUTLET TO THE... REVIEW OF WHAT BOLIVIA CONSIDERS TO
BE.... SUB-SECRETARY INDICATED THAT BOLIVIA
MAY... MOTION ON BEHALF OF BOLIVIA REGARDING... MEETINGS IN WASHINGTON/ATLANTA BOLIVIA'S",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=74630&dt=2474&dl=1345,16 APR 1974,1974LAPAZ02347,D740087-1016,LA PAZ,STATUS OF CAF PRESIDENT LINARES,"EGEN, PE, VE, BL, LAFTA, CAF, (LINARES, ADOLFO)",STATE CARACAS,"BOLIVIA.

2. SUGGEST THAT DEPARTMENT DELAY",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=74331&dt=2474&dl=1345,16 APR 1974,1974LAPAZ02343,D740088-0052,LA PAZ,ICEM AND OAS MEETING IN ATLANTA,"PFOR, BL, US, OAS, ICEM",STATE,"BOLIVIA. ALSO SUGGESTED EMBASSY AND...
ACTIVITIES IN BOLIVIA WHICH HE GAVE TO FOREIGN",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=78086&dt=2474&dl=1345,18 APR 1974,1974LAPAZ02436,D740090-1219,LA PAZ,ANDEAN GROUP JUNTA MEETING,"EGEN, BL, LAFTA, ANDEAN GROUP",LIMA,"BOLIVIA
AND CERTAIN OTHER COUNTRIES (I.E. VENEZUELA). HE ADDED
BOLIVIA HAS AGREEMENT",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=77970&dt=2474&dl=1345,19 APR 1974,1974LAPAZ02466,D740092-0523,LA PAZ,ANDEAN MEETING AND DECISION 24,"EFIN, PE, BL, LAFTA, ANCOM",LIMA STATE,"BOLIVIA.
STEDMAN


LIMITED OFFICIAL USE",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=84727&dt=2474&dl=1345,22 APR 1974,1974LAPAZ02490,D740093-1124,LA PAZ,"DOUGLAS, ROBERT P S CONTRACT","APER, BL, (DOUGLAS, ROBERT)",STATE,"DOUGLAS QUOTE USAID/BOLIVIA WILL
SIGN... YOU PROCEED TO BOLIVIA ABOUT APRIL 27 AT",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=71623&dt=2474&dl=1345,24 APR 1974,1974LAPAZ02576,D740096-0872,LA PAZ,FOREIGN INVESTMENT CLIMATE AND DATA,"EIND, EFIN, BL",STATE,"COVERED AND BOLIVIA'S INTERESTING..., 1972, RESERVES CONTROL OF BOLIVIA'S... KILOMETERS OF
BOLIVIA'S BORDERS: AND (3) THE... EVENTUALLY
BE APPLIED IN BOLIVIA, ALTHOUGH THE....
NATIONALIZATIONS BEGAN IN BOLIVIA IN 1936",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=70782&dt=2474&dl=1345,24 APR 1974,1974LAPAZ02581,D740096-0755,LA PAZ,CONVERSATION WITH BOLIVIAN PRESIDENT BANZER: ECONOMIC AND MILITARY  ASSISTANCE AND THE STATE VISIT,"PFOR, MASS, OVIP, EAID, BL, US, (BANZER SUAREZ, HUGO)",STATE,"ARRIVE IN BOLIVIA TO ASSESS
FLOOD DAMAGE... OF BOLIVIA'S UTILIZATION OF FMS
CREDIT... OF WASHINGTON
AUTHORITIES FOR BOLIVIA'S",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=70781&dt=2474&dl=1345,24 APR 1974,1974LAPAZ02604,D740096-1013,LA PAZ,FY 1974 FMS CREDIT - BOLIVIA,"MASS, BL, (BANZER)",STATE,"- BOLIVIA

REF: SEC/DEFENSE MESSAGE 121835Z... MILLION FMS FOR BOLIVIA IN FY 1974.

2. WE",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=70780&dt=2474&dl=1345,24 APR 1974,1974LAPAZ02611,D740098-0154,LA PAZ,FIAT CONCORD TRACTOR MONOPOLY; VIOLATION OF U.S.- BOLIVIAN COMMERCIAL  TREATY,"ETRD, BL, US, FIAT CONCORD",STATE,"HANDLING U.S. MADE TRACTOR SALES TO BOLIVIA... SIGNIFICANT NEW PRECEDENT IN BOLIVIA AT
LEAST... ASSIGNED TO
BOLIVIA UNDER ANDEAN PACT.
STEDMAN",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=71895&dt=2474&dl=1345,24 APR 1974,1974LAPAZ02574,D740097-0412,LA PAZ,PRIVATE VOLUNTARY ASSISTANCE FOR DISASTERS,"SGEN, OTRA, BL, US",STATE,"SIMILAR PROBLEMS STRIKE IN BOLIVIA.

2. GROUP",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=70763&dt=2474&dl=1345,25 APR 1974,1974LAPAZ02646,D740098-0423,LA PAZ,FY 1974 FMS CREDIT - BOLIVIA,"MASS, BL, US",STATE,"- BOLIVIA

REF: A) LA PAZ 2604 B) SEC/DEFENSE... ALLOCATION TO
BOLIVIA OF $4 MILLION IN FOREIGN",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=72588&dt=2474&dl=1345,26 APR 1974,1974LAPAZ02673,D740099-0994,LA PAZ,AGRICULTURAL TRADE OPPORTUNITY,"EAGR, BEXP, BL",STATE AGR,". 335 BOLIVIA
5. N
6A REPLY TO
6B ABELARDO... BOLIVIA

7A ""CONVOCATORIA LICITACION MICT",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=70735&dt=2474&dl=1345,26 APR 1974,1974LAPAZ02654,D740099-1015,LA PAZ,APPLEGATE-YOUNGQUIST CASE,"BDIS, EIND, BL, US, (APPLEGATE), (YOUNGQUIST)",STATE,"OUTSIDE BOLIVIA. THIS NORMAL PRACTICE AND IN...
BOLIVIA FOR NEGOTIATIONS. HE CONCLUDED THAT... REPRESENTATIVE MUST COME TO BOLIVIA TO NEGOTIATE... EASILY BE DONE IN
BOLIVIA WHERE DOCUMENTARY... NEGOTIATION TAKE PLACE IN BOLIVIA",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=70079&dt=2474&dl=1345,30 APR 1974,1974LAPAZ02766,D740103-0490,LA PAZ,OPIC INSURANCE APPLICATIONS: JOHN LAMAR LESSOR AND CHARLES E. STOKES,"EFIN, BL, US, OPIC, INI",STATE,"ON
LAND INVESTMENTS IN BOLIVIA. END..., EMBASSY CONCERNED
RE BOLIVIA'S HISTORY... BOLIVIA'S 1952 REVOLUTION. LAW HAS FREQUENTLY",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=70139&dt=2474&dl=1345,30 APR 1974,1974LAPAZ02742,D740103-0233,LA PAZ,PL 480 - TITLE I WHEAT,"EAID, BL",STATE,"SUPPLY TOLD EMBOFF APRIL 29
THAT BOLIVIA",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=115466&dt=2474&dl=1345,01 MAY 1974,1974LAPAZ02773,D740104-0679,LA PAZ,"TEXTILE TRADE MISSION, VENEZUELA, COLOMBIA, AND BRAZIL, JUNE, 1974","BEXP, BL",STATE,1. ACTION REQUESTED: INCLUDE BOLIVIA IN.... THOUGH BOLIVIA DOES NOT HAVE INDUSTRY AS.... BOLIVIA IS AN EXPORTER OF COTTON. PROJECTED,NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=110096&dt=2474&dl=1345,07 MAY 1974,1974LAPAZ02898,D740110-0414,LA PAZ,EXPORT COMPETITION: LARGE TRACTORS,"BEXP, BL",STATE,"OBSTACLES
TO U.S. EXPORTS TO BOLIVIA IS GROWING",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=110094&dt=2474&dl=1345,07 MAY 1974,1974LAPAZ02914,D740110-1027,LA PAZ,IMPC/EMBOSA PROBLEM,"BDIS, BL",STATE,LEGAL ACTIONS IN US AGAINST BOLIVIA... BOLIVIA. HE ALSO SAID THAT HE ALSO... TO EXTRACT MORE MONEY FROM BOLIVIA AND,NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=97638&dt=2474&dl=1345,08 MAY 1974,1974LAPAZ02935,D740112-0066,LA PAZ,HOUSE SUBCOMMITTEE DECISIONS,"ETRD, EAGR, BL",STATE,INCLUDING BOLIVIA AMONG COUNTRIES THAT WOULD,NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=112331&dt=2474&dl=1345,08 MAY 1974,1974LAPAZ02954,D740112-0174,LA PAZ,WELFARE & WHEREABOUTS - CONGRESSIONAL INTEREST,"CASC, (TAFT, ROBERT), (KNOFF, MARSHALL)",STATE,"CRUZ, BOLIVIA. EMBASSY NOT
YET IN CONTACT",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=101938&dt=2474&dl=1345,08 MAY 1974,1974LAPAZ02947,D740115-0286,LA PAZ,BOLIVIAN TARIFF SCHEDULE,"ETRD, BL",STATE,. BOLIVIA'S TARIFF REGIME WILL BE DESCRIBED,NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=101846&dt=2474&dl=1345,08 MAY 1974,1974LAPAZ02047,D740075-0164,LA PAZ,U.S. CANDIDACY FOR INTER-AMERICAN JURIDICAL COMMITTEE,"PFOR, BL, US, IAJC, PFOR, (RUBIN, SEYMOUR J)",STATE,"PAZ 02047  082047Z

4. BOLIVIA'S TARIFF",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=97369&dt=2474&dl=1345,09 MAY 1974,1974LAPAZ03005,D740113-0798,LA PAZ,LAB BUYS JET,"EFIN, BL, US, LLOYD AEREO BOLIVIANO",STATE,"AIRCRAFT WILL ARRIVE BOLIVIA
MAY 17 AND",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=105892&dt=2474&dl=1345,09 MAY 1974,1974LAPAZ03003,D740113-0796,LA PAZ,"BOLIVIAN TRAINING SCHOOL HQS FOR STUTMAN/TR, EMBASSY FOR DEA","SNAR, BL, US",DEA,"ARRIVAL IN BOLIVIA
ON TUESDAY, MAY 14",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=97020&dt=2474&dl=1345,10 MAY 1974,1974LAPAZ03038,D740114-1088,LA PAZ,BOLIVIA CASP,"PFOR, EAID, OTRA, BL, US",STATE,": BOLIVIA CASP

REF: A. STATE 88210
     B. LA",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=96144&dt=2474&dl=1345,14 MAY 1974,1974LAPAZ03098,D740118-0978,LA PAZ,PRESIDENT BANZER COMMENTS ON US ECONOMIC AND MILITARY ASSISTANCE IN  PRIVATE CONVERSATION WITH AMBASSADOR,"PFOR, EAID, MASS, BL, US",STATE,"HELP BOLIVIA OBTAIN
C-130 TRANSPORT... STATE OF DEVELOPMENT AS BOLIVIA ARE... RESOURCES FOR DEVELOPMENT
ACTIVITIES IN BOLIVIA",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=96141&dt=2474&dl=1345,14 MAY 1974,1974LAPAZ03128,D740118-1129,LA PAZ,PL-480 TITLE I LIMA FOR AGATT,"EAID, EAGR, ECON, BL, US",STATE,"IMPLEMENTED BOLIVIA WILL HAVE SUPPLY GAP OF...
HELPING SOLVE BOLIVIA'S GRAIN SUPPLY... DISTRIBUTION IN BOLIVIA WHETHER BY RAIL... CY 1974.
7. BOLIVIA HAS GREATLY IMPROVED... THAT IN CY 1973, BOLIVIA'S
FOREIGN",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=95395&dt=2474&dl=1345,16 MAY 1974,1974LAPAZ03187,D740121-1045,LA PAZ,PDC-PRA AND MNRI FORM NEW OPPOSITION ALLIANCE,"PINT, BL, PDC-PRA, MNRI",STATE,"EXECUTIVE COMMITTEE OF MNRI
WITHIN BOLIVIA NOT",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=95401&dt=2474&dl=1345,16 MAY 1974,1974LAPAZ03188,D740121-1041,LA PAZ,"TWO WEEK TRAINING SCHOOL IN LA PAZ, BOLIVIA","SNAR, BL",DEA,", BOLIVIA

1. ON MAY 15 AND 16, 1974, S... SCHOOL IN LA PAZ, BOLIVIA. DURING
THOSE... IN BOLIVIA. AS REQUESTED BY BOLIVIAN...  LA PAZ 03188  162206Z

NEEDS OF BOLIVIA... CONDUCTED IN BOLIVIA PROVED BOTH
CORDIAL",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=95422&dt=2474&dl=1345,16 MAY 1974,1974LAPAZ03165,D740121-0692,LA PAZ,EVALUATION OF INTAL PERFORMANCE,"EGEN, BL, LAFTA, INTAL",STATE,"RELATIVELY LITTLE IMPACT IN BOLIVIA.
IT HAS HELD THREE SEMINARS IN BOLIVIA, THE LAST",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=100786&dt=2474&dl=1345,20 MAY 1974,1974LAPAZ03250,D740125-0563,LA PAZ,LIST OF POTENTIAL INVITEES TO WORLD ENERGY CONFERENCE (WEC),"TECH, ENRG, BL, WORLD ENERGY CONFERENCE, 
(MCKENNEY, WILLIAM), (OBLITAS,  JAIME), (POZO, DELFIN), (SALINAS, LUIS),
 (DELUIS, CARLOS), (LARRAZABAL, JAIME)",STATE,"BOLIVIANOS, CALLE BUENOS S/N, LA PAZ BOLIVIA

2... SANTA CRUZ,
LA PAZ BOLIVIA

3. PRIVATE SECTOR REPRESENTATIVES IN BOLIVIA MOSTLY... LIQUID CARBONIC DE BOLIVIA S.A.,
CASILLA 571, LA PAZ, BOLIVIA: GONZALO GARCIA",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=93720&dt=2474&dl=1345,22 MAY 1974,1974LAPAZ03295,D740127-0941,LA PAZ,POLITICAL TENSIONS RISE OVER RELATIONS WITH BRAZIL,"PINS, PINT, PFOR, BL, PDC, MNRI, PRA, (GEISEL, ERNESTO)",STATE,"BETWEEN BRAZIL AND BOLIVIA.

2. THE... IMPLICATIONS FOR BOLIVIA'S NATIONAL
SECURITY",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=93718&dt=2474&dl=1345,22 MAY 1974,1974LAPAZ03292,D740128-0207,LA PAZ,AMERICAN INDIAN CONVENTION,"PFOR, SGEN, BL, US, AIM, AMERICAN INDIAN MOVEMENT, (REINAGA, FAUSTO)",STATE,"CONVENTION HAVE BEEN RECEIVED IN
BOLIVIA... PLACE AS ""REPRESENTATIVE
OF BOLIVIA",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=100332&dt=2474&dl=1345,23 MAY 1974,1974LAPAZ03357,D740130-0139,LA PAZ,BRAZILIAN CREDIT FOR HIGHWAY CONSTRUCTION AND MAINTENANCE EQUIPMENT  INCREASED,"EFIN, BEXP, BL, BR",STATE,"(SEE REFTEL), BRAZIL OFFERED
AND BOLIVIA",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=100329&dt=2474&dl=1345,23 MAY 1974,1974LAPAZ03356,D740130-0017,LA PAZ,"PRESIDENT'S GEISEL AND BANZER SIGN GAS AND INDUSTRIAL DEVELOPMENT  ""ACT""","ECON, EFIN, EMIN, ENRG, BL, BR",STATE,"BOLIVIA.
END SUMMARY.1. ART. 4 IF.... BOLIVIA DISPOSED TO IMPLEMENT
(CONCRETAR) GAS..., THEY WILL NOT INCREASE
BOLIVIA'S... IN BOLIVIA'S OFFICIAL ACCOUNTS.
NEXT",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=101414&dt=2474&dl=1345,24 MAY 1974,1974LAPAZ03382,D740131-0919,LA PAZ,CIAP MEETING MINCOORD CAPRILES TOLD CHARGE AND ADCM HE WOULD HEAD GOB,"EAID, ECON, BL, CIAP, (CAPRILES GUTIERREZ, ROBERTO), (ORMACHEA, HECTOR),  (OTERO, SERGIO)",STATE,DELEGATION TO CIAP MEETING ON BOLIVIA SCHEDULED,NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=92422&dt=2474&dl=1345,28 MAY 1974,1974LAPAZ03430,"D740133-1069, D740146-0871",LA PAZ,MILITARY PURCHASE ARMORED VEHICLES,"MASS, BL, US",STATE,"ARMORED FOR BOLIVIA'S NEEDS.
HE... WAR AGAINST ANY OF BOLIVIA'S NEIGHBORS",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=115820&dt=2474&dl=1345,29 MAY 1974,1974LAPAZ03446,"D740189-0408, D740135-0185",LA PAZ,"PAZ, LOURDES FOR: WFC","AFIN, BL, (PAZ, LOURDES)",STATE,"RUEXLZ/COMUSMILGP LA PAZ BOLIVIA
INFO RUESLZ/AMZMBASSY LA PAZ BOLIVIA//B/MO",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=92423&dt=2474&dl=1345,29 MAY 1974,1974LAPAZ03463,D740135-0570,LA PAZ,SUPPORT FOR LOCAL FOOD AND POPULATION CRISIS COMMITTEES,"EAGR, SPOP, BL, (CISNEROS, ANTONIO), (MEMNDEZ, JULIO)",STATE,"ESTABLISH SUBJECT
COMMITTEES IN BOLIVIA UP",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=91778&dt=2474&dl=1345,30 MAY 1974,1974LAPAZ03507,D740138-0833,LA PAZ,BOLIVIAN DELEGATION TO THIRD UN CONFERENCE ON LAW OF THE SEA,"PBOR, PINR, BL, US, UN, (QUERJAZU, GUSTAVO MEDEIROS), (ABASTO, FELIPE  TREDINNICK)",STATE,"MINISTRY IN APRIL AND IS BOLIVIA'S
LEADING... OF THE SEA.
OTHER MEMBERS OF BOLIVIA'S.... DELEGATION CHIEF MEDEIROS IS ONE OF
BOLIVIA'S... PERIOD OF MNR'S RULE IN BOLIVIA (1952-64... NATIONAL BANK OF BOLIVIA, LEGAL ADVISOR TO",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=92426&dt=2474&dl=1345,30 MAY 1974,1974LAPAZ03504,D740138-0079,LA PAZ,UNIVERSITY POLITICAL SCENE,"PINT, BL, (HARTMANN, FELIPE), (ZELAYA, JOSE)",STATE,"SURFACE CALM IN BOLIVIA'S UNIVERSITIES OVER... BOLIVIA'S UNIVERSITIES.
BREWIN


CONFIDENTIAL",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=92414&dt=2474&dl=1345,30 MAY 1974,1974LAPAZ03501,D740137-0237,LA PAZ,MFM WORKING GROUP ON TRANSNATIONAL ENTERPRISES,"PFOR, EGEN, US, BL",STATE,"092124

1. REFTEL A NOTES THAT BOLIVIA HAS",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=101143&dt=2474&dl=1345,30 MAY 1974,1974LAPAZ03512,D740138-0712,LA PAZ,YPFB SIGNS EIGHTH OPERATIONS CONTRACT,"ENRG, BL, YPFB, TEXACO",STATE,"OIL COMPANIES IN BOLIVIA IN
EXPLORATION",NA,NA,NA,NA,NA,NA,NA,NA
